Company Name,Stipend,Common Roles,Hires In
Deriv,"3,200 AED",Software Dev,PS-1
Emirates,No Stipend,Data Science Eng.,PS-2
ESRI,"3,700 AED",Python Developer,PS-2
"PWC,Dubai","3,000 AED",AI Engineer,PS-1
"Absolut Data,India",No Info,No Info,PS-2
Al Sagr Insurance,No Info,No Info,PS-2
Al Shirawi Equipment Company LLC,No Info,No Info,PS-2
Alwafaa,No Info,No Info,PS-2
Amber Enterprises India Ltd,No Info,No Info,PS-2
Arteche Middle East,No Info,No Info,PS-2
Atkins,No Info,No Info,PS-2
Aver Solutions,No Info,No Info,PS-2
BAHWAN CYBERTEK FZ LLC,No Info,No Info,PS-2
Brainy N Bright,No Info,No Info,PS-2
CAE Maritime Middle East LLS,No Info,No Info,PS-2
"Capgemini,India",No Info,No Info,PS-2
Casamia,No Info,No Info,PS-2
Civil Matrix,No Info,No Info,PS-2
Clear Water Solutions - DIC,No Info,No Info,PS-2
"Code Tru,India",No Info,No Info,PS-2
"Cogniver technologies,Dubai",No Info,No Info,PS-2
Creed and Bear,No Info,No Info,PS-2
CyberDisti,No Info,No Info,PS-2
Deriv,No Info,No Info,PS-2
DIB,No Info,No Info,PS-2
"Dupont,India",No Info,No Info,PS-2
"EA Technologies,Dubai",No Info,No Info,PS-2
Emerson,No Info,No Info,PS-2
"Emirates Hospital,Dubai",No Info,No Info,PS-2
Enginious LLC-FZ,No Info,No Info,PS-2
"Esfera and Aster FZE,Dubai",No Info,No Info,PS-2
Esri R&D SHJ UAE,No Info,No Info,PS-2
Fractals,No Info,No Info,PS-2
"Francom Middle East,Dubai",No Info,No Info,PS-2
GBM,No Info,No Info,PS-2
Greenware Technologies,No Info,No Info,PS-2
Hansa Energy,No Info,No Info,PS-2
Hashinclude,No Info,No Info,PS-2
Hydro,No Info,No Info,PS-2
ICBA,No Info,No Info,PS-2
ICC Loyalty,No Info,No Info,PS-2
Impiger Technologies,No Info,No Info,PS-2
"Indian Oil Corporation,India",No Info,No Info,PS-2
Intelpeek,No Info,No Info,PS-2
InTwo,No Info,No Info,PS-2
Kema,No Info,No Info,PS-2
"KPTAC Technologies ,Dubai",No Info,No Info,PS-2
Lamprell,No Info,No Info,PS-2
Landmark Group,No Info,No Info,PS-2
"Lucy Electric,Dubai",No Info,No Info,PS-2
Master System,No Info,No Info,PS-2
MES,No Info,No Info,PS-2
Metadata,No Info,No Info,PS-2
"Mondelez International,Dubai",No Info,No Info,PS-2
"MSD,Dubai",No Info,No Info,PS-2
National Laboratory,No Info,No Info,PS-2
"OSI Infotech LLC,AUH",No Info,No Info,PS-2
P. S. K. Infrastructures And Projects Limited,No Info,No Info,PS-2
Panacor Technologies LLC,No Info,No Info,PS-2
Paramount,No Info,No Info,PS-2
"Petrofac, Sharjah",No Info,No Info,PS-2
POWER MECH PROJECTS LIMITED,No Info,No Info,PS-2
Protiviti,No Info,No Info,PS-2
"PWC,Dubai",No Info,No Info,PS-2
"Reckitt Benckiser,Dubai",No Info,No Info,PS-2
RNS Technology Services,No Info,No Info,PS-2
"Savills,Sharjah",No Info,No Info,PS-2
"SEMEA Electrical & Automation FZE,Dubai",No Info,No Info,PS-2
Sentient Labs FZ LLC,No Info,No Info,PS-2
Sharaf DG,No Info,No Info,PS-2
Siemens Energy,No Info,No Info,PS-2
"STANDARD GLOBAL QUALITY CERTIFICATES,AUH",No Info,No Info,PS-2
"Synopsys,Bangalore",No Info,No Info,PS-2
Taurani Holdings - THL,No Info,No Info,PS-2
Taurani Holdings - UTP,No Info,No Info,PS-2
Taurani Holdngs - KHK SCAFFOLDING,No Info,No Info,PS-2
TCS,No Info,No Info,PS-2
Techrobotix,No Info,No Info,PS-2
"Triway Technologies, Dubai",No Info,No Info,PS-2
Upskiller,No Info,No Info,PS-2
VAI Management,No Info,No Info,PS-2
W A F A Biological Laboratory LLC,No Info,No Info,PS-2
Weidmüller group,No Info,No Info,PS-2
Wipro,No Info,No Info,PS-2
"ZF India Private Limited,Hyderabad",No Info,No Info,PS-2
"ZingHR,Dubai",No Info,No Info,PS-2
Zutari,No Info,No Info,PS-2
